الجماال	الجمال
ومساواة	مساواة
السرعه	السرعة
مُكتئب	مكتئب
التجربة…	التجربة
الككل	الكل
أن،	أن
وهوه	وهو
هذآ	هذا
ونجاح	نجاح
وقيادة	قيادة
نجاحه	نجاح
مجموعات	مجموعة
الاصفر	الأصفر
محافظة	مدينة
السلةكرة	كرة
لديہ	لديه
منسابا	كسا
نقطه	نقطة
شاقّ	شاق
العاب	لعبة
مره…	مرة
أنآقة	أناقة
خطااب	خطاب
نفانيف	فستان
منذُ	مذ
مُخجل	مخجل
العاالم	العالم
صحي…	صحيح
الضروره	الضرورة
السوؤال	السؤال
سمحوا	سمح
المآضي	الماضي
صخراء	صحراء
اغاني	أغنية
عصراً	ظهرا
أحوال_الطقس	الطقس
بسبة	بسبب
‏بين	بين
بوضع	وضع
سبب…	سبب
الحقّ	الحق
‏كان	كان
ﺎلعين	العين
مطالبةً	مطالبة
حزين،	حزين
ظلِّ	ظلّ
فكانت	وكانت
أنىٰ	أنّى
الحليب	حليب
عِدة	عدة
باتَ	بات
تبددل	تبدّل
بطئية	بطيئة
‏​البعض	البعض
أدَّى	أدى
صــاعق	صاعق
سؤالك	السؤال
مثلّث	مثلث
سريع🌹	سريع
غدًا	غدا
يريد	تريد
وتختلف	تختلف
خطيــر	خطير
معطَف	معطف
أسوداطار	إطار
بعقد	عقد
لذييذ	لذيذ
يوسف||	وسيم
أناقہ	أناقة
⁰إن	إن
ركوبي	ركوب
ايضاً	أيضا
الاخضر	الأزرق
لحظـة	لحظة
اما	أما
عداا	عدا
جنااح	جناح
إيّاك	إياك
إنضمام	انضمام
متوسط،	متوسط
فهـلا	هلّا
وحيداً	وحيد
؛يمكن	يمكن
بكِ…	بكما
إيآها	إياها
جميل✨	جميل
بياكد	واكد
الارض	الأرض
الموضوع☺	الموضوع
ثﻻثة	ثلاثة
السكر؟	السكر
سير،	سير
لاتحوي	تحتوي
هؤلاءِ	هؤلاء
بهائمي	شائن
تُلقي	تلقي
،هلّا	هلّا
‏ثمّة	ثمّة
االصعب	الصعب
ومبهج	مبهج
للات	لات
للك	لك
إجل	أجل
الأربعاء	السبت
أسمراني	أسمر
الماضي…	الماضي
لبن	حليب
واضحح	واضح
لسلسة	سلسلة
يَاأَيّهَا	لَسْتُنَّ
الالى	الألى
لازال	مازال
ملاحقة	مطاردة
أجمّع	أجمع
أسمه	إسم
تمااما	تماما
الشمس	شمس
يتفوق	متفوق
باااب	باب
سسجل	سجل
‏‏لم	لم
كادَ	كاد
عرفوا	عرف
آنا	أنا
رجل،	رجل
والدة	زوجة
القلي…	القليل
لخطة	خطة
اِليك	إليكَ
ثم…	ثم
إبقى	أبقى
ماكانت	كانت
ضحيّة	ضحية
دائرة…	دائرة
وبرتقالي	رمادي
مفتوحة،	مفتوحة
وهما	هما
الجدول؟	الجدول
نوم💔	نوم
عزيزي	عزيزتي
قطرةِ	بقعة
ودهنه	دهن
هيه	هيا
الأخيرتان	اللتين
الموضوعي،	الذاتي
اسود	أسود
ستتضاعف	مضاعفة
خلفّ	خلف
هذأ	هذا
الأبتسامه	الابتسامة
عاجلوكالة	لوكالة
قدييم	قديم
،،اما	اما
مدفيديف	ظريف
بارد،	بارد
تحتااج	تحتاج
درجة…	درجة
بِنَا	بنا
مسئله	مسألة
قوة،	قوة
تعلق	علق
صوٺ	صوت
ماعدا	عدا
راحح	راح
الفصل	الصف
آآآه	آه
الجنوب…	الجنوب
الهوّة	الفجوة
عددد	عدد
مرغوبَ	مرغوب
آخر	آخر
الدوﻻر	الدولار
صَبَبْنَا	هَيْهَاتَ
مُظلم	مظلم
بحالة	حالة
فععل	فعل
”لن	لن
اﻵن	الان
عظِيم	عظيم
وزبيرية	زري
‏انا	أنا
حفرة…	حفرة
